준비운동,본운동,마무리운동
1단줄넘기,1단줄넘기,가슴스트레칭
가슴스트레칭,2단줄넘기,가슴/어깨스트레칭
가슴/어깨스트레칭,4방향콘찍고달리기,가슴/어깨앞쪽스트레칭
가슴/어깨앞쪽스트레칭,S자달리기,걷기
걷기,V자버티기,계단올라갔다내려오기
겨드랑이늘리기,V자싸이클,고관절스트레칭
계단뛰어오르기,가슴스트레칭,고양이자세
계단오르기,가슴/어깨스트레칭,고정식자전거타기
계단올라갔다내려오기,가슴/어깨앞쪽스트레칭,고정식트레드밀에서걷기
고관절스트레칭,거꾸로누워서밀기,골다공증을위한스트레칭
고양이자세,걷기,골반스트레칭
고정식자전거타기,결가부좌,골반스트레칭2
고정식트레드밀에서걷기,계단두칸씩뛰기,관절염을위한스트레칭
골다공증을위한심폐지구력운동,계단두발뛰기,깍지끼고상체숙이기
골반스트레칭,계단뛰어오르기,나비자세
골반스트레칭2,계단오르기,내전근스트레칭
균형걷기,계단올라갔다내려오기,넙다리뒤쪽스트레칭
깍지끼고상체숙이기,계단한발뛰기,넙다리안쪽스트레칭
깍지끼고목들어올리기,계이름치기,넙다리앞쪽스트레칭
나란히서서손잡고끌어당기기,고관절스트레칭,누워발목당겨주기
나무자세,고양이자세,누워서굽힌다리펴기
나비자세,고정식자전거타기,누워서전신뻗기
내전근스트레칭,고정식트레드밀에서걷기,다리굽혀(W자)상체뒤로눕기
넙다리뒤쪽스트레칭,고정한상태에서덤벨들고팔꿈치굽히기,다리꼬아상체앞으로숙이기
넙다리안쪽스트레칭,고혈압환자_순환식근력운동프로그램,다리들어올리기
넙다리앞쪽스트레칭,골다공증을위한근력운동2,다리모아상체숙이기
네발걷기,골다공증을위한심폐지구력운동,다리벌려앞으로상체숙이기
네발기기자세로팔다리들기,골반스트레칭,다리벌려옆으로상체숙이기
네발기기자세에서손바닥으로바닥밀기,골반스트레칭2,다리굽혀허리비틀기
누워다리들어올리기,공던져색깔맞추기,다리들어옆으로올리기
누워서가슴밀기,공양손으로주고받기,다리모아무릎누르기
누워서굽힌다리펴기,공위로던지고제자리돌아받기,다리자세
누워서다리들어올리기,공잡고들어올리기,달리기
누워서머리위로팔꿈치펴기,관절염을위한근력운동1,대퇴사두근스트레칭
누워서엉덩이들어올리기,관절염을위한근력운동2,대퇴이두근스트레칭
누워서전신뻗기,관절염을위한심폐지구력운동,대퇴이두근스트레칭2
다리굽혀(W자)상체뒤로눕기,교차다리굽히기,동적스트레칭루틴프로그램
다리꼬아상체앞으로숙이기,균형걷기,뒤꿈치높이들어뛰기
다리들어올리기,깍지끼고상체숙이기,등대고대퇴이두근스트레칭
다리모아뒤로눕기,나무자세,등스트레칭
다리모아상체숙이기,나비자세,등/어깨뒤쪽스트레칭
다리모았다벌려뛰기,내전근스트레칭,레그스윙
다리벌려앞으로상체숙이기,넙다리뒤쪽스트레칭,마주앉아대퇴이두근스트레칭2
다리벌려옆으로상체숙이기,넙다리안쪽스트레칭,목당기기
다리뻗어올리기,넙다리앞쪽스트레칭,목돌리기
다리앞뒤로벌려굽혔다펴기,네발걷기,목돌림스트레칭
다리굽혀허리비틀기,네발기기자세로팔다리들기,목스트레칭
다리들어옆으로올리기,네발기기자세에서다리위로뻗어올리기,몸기울이기/회전하기
다리모아무릎누르기,네발기기자세에서손바닥으로바닥밀기,몸앞으로굽히기
달리기,누워다리들어올리기,몸통비틀기
대퇴사두근스트레칭,누워무릎기울기,몸통스트레칭
대퇴이두근스트레칭,누워발목당겨주기,몸통앞으로굽혀걷기
대퇴이두근스트레칭2,누워한발원그리기,무릎굽혀가슴닿기
덤벨옆으로들어올리기,누워서가슴밀기,무릎당겨올리기
덤벨잡고뒤꿈치들기,누워서공뒤로내리고당기기,무릎대고상체뒤로젖히기
덤벨잡고몸통옆으로굽히기,누워서공들고몸기울이기,무릎들어올리기
덤벨잡고앉았다일어서기,누워서굽힌다리펴기,무릎굽혀원그리기
덤벨잡고한발내밀어굽혔다펴기,누워서다리굽히기,물누르기/올리기
동적스트레칭루틴프로그램,누워서다리들어올리기,물당기기/밀기
뒤꿈치높이들어뛰기,누워서다리좌우로움직이기,반달자세
뒤꿈치들기,누워서덤벨들어올리기,발끝당기기
뒤로팔굽혀펴기,누워서덤벨모아들기,발닿기
등스트레칭,누워서머리위로팔꿈치펴기,발가락폄근스트레칭
등/어깨뒤쪽스트레칭,누워서밀기,발등동시에늘리기
뛰어내렸다가바로점프하기,누워서배가로근수축I,발목돌리기
라켓으로공치며앞으로가기,누워서배가로근수축II,발목얹고다리잡아당기기
런지하며상체비틀기,누워서수직으로다리들어올리기,발바닥마주대고끌어당기기
레그스윙,누워서엉덩이들어올리기,발바닥치기
맨몸운동루틴프로그램,누워서전신뻗기,배스트레칭
머리위로공넘기기,누워서팔다리동시에들어올리기,베개밟고측면으로양팔들기
메디신볼잡고런지하며상체비틀기,누워서팔밀기,복부스트레칭
메디신볼잡고팔굽혀펴기,누워서하늘자전거,복식호흡
메디신볼운동루틴프로그램,다리굽혀(W자)상체뒤로눕기,비복근스트레칭
모관운동,다리들어올리기,빠르게무릎올려찍기
목당기기,다리모아뒤로눕기,상지루틴스트레칭
목돌리기,다리모았다벌려뛰기,서서발목누르기
목돌림스트레칭,다리뻗어올리기,서서발목뒤로당기기
목스트레칭,다리뻗어점프하기,서서한팔들어오른쪽왼쪽뻗기
몸기울이기/회전하기,다리앞뒤로벌려굽혔다펴기,수영
몸앞으로굽히기,다리올려의자넘기,스타투니풀
몸통들어올리기,다리굽혀허리비틀기,스텝박스오르내리기
몸통비틀기,다리들어옆으로올리기,실내자전거타기
몸통스트레칭,다리로짐볼들어올리기,아기자세
몸통앞으로굽혀걷기,다리모아무릎누르기,아래팔스트레칭
몸통옆으로굽히기,다리벌려풍차돌기,앉아윗몸앞으로굽히기
무릎굽혀가슴닿기,다리자세,앉아서옆구리늘려주기
무릎높여제자리달리기,달리기,앉아서한발앞으로굽히기
무릎높이들어뛰기,대(大)자점프뛰기,앉았다일어서기
무릎당겨올리기,대퇴사두근스트레칭,앞굽이앉았다일어서기
무릎대고옆으로기울이기,대퇴이두근스트레칭,양발교차하여서서몸통숙이기
무릎들어올리기,대퇴이두근스트레칭2,양발벌려무릎밀어내기
무릎아래에서양옆으로굴리기,덤벨옆으로들어올리기,양팔벌려전신비틀기
무릎올려공닿기,덤벨잡고뒤꿈치들기,어깨누르기
무릎굽혀원그리기,덤벨잡고몸통옆으로굽히기,어깨뒤쪽스트레칭
물병들고한발앞으로내밀고앉았다일어서기,덤벨잡고앉았다일어서기,어깨스트레칭
물병옆으로들어올리기,덤벨잡고한발내밀어굽혔다펴기,어깨양옆으로돌리기
물속에서걷기,동적스트레칭루틴프로그램,어깨올리기
바로서서상체숙이기,두발모아걷기,엉덩이스트레칭
바벨들어팔꿈치굽히기,뒤꿈치높이들어뛰기,엉덩이스트레칭2
바벨들어올리기,뒤꿈치들기,엎드려교차발잡아당기기
바운딩운동루틴프로그램,뒤로팔굽혀펴기,엎드려버티기
박스옆으로번갈아뛰기,등대고대퇴이두근스트레칭,엎드려상체들어올리기
박스오르내리기,등/어깨뒤쪽스트레칭,엎드려어깨늘리기
박스운동루틴프로그램,뛰어내렸다가바로점프하기,연속사이드스쿼드
반달자세,런지하며상체비틀기,옆구리스트레칭
반복옆뛰기,레그스윙,옆구리늘리기
발끝당기기,마주앉아대퇴이두근스트레칭,옆으로걷기
발뒤꿈치들어올리기,마주앉아대퇴이두근스트레칭2,옆으로누워가슴열기
발바꿔뛰기,매달려서다리들기,옆으로누워버티기
발가락폄근스트레칭,맨몸운동루틴프로그램,옆으로누워폼롤러굴려주기
발로공주고받기,머리위로공넘기기,온몸뻗어주기
발목돌리기,머리위로볼돌리기,왜가리자세
발목얹고다리잡아당기기,머신이용근력운동루틴프로그램,요가및필라테스루틴프로그램
발바닥마주대고끌어당기기,메디신볼잡고런지하며상체비틀기,요통을위한스트레칭1
발바닥치기,메디신볼잡고팔굽혀펴기,요통을위한스트레칭2
발에밴드걸고윗몸일으키기,메디신볼운동루틴프로그램,의자잡고측면으로한발들기
배스트레칭,목굽힘/폄I,의자잡고한발들기
밴드걸고누워서다리들어올리기,목굽힘/폄II,의자에앉아가슴뒤로젖히기
밴드걸고앉아서발등굽힘,목굽힘/폄III,의자에앉아옆구리숙이기
밴드걸고엎드려서다리구부리기,목돌림스트레칭,의자이용유연성운동루틴프로그램
밴드걸고옆으로누워다리올리기,목스트레칭,자가근막이완술루틴스트레칭
밴드머리뒤로들어올리기,목봉잡고앉았다일어나기,자전거타기
밴드앞옆으로들어올리기,몸기울이기/회전하기,작은공을이용한동적루틴스트레칭
밴드잡고누워서다리밀기,몸앞으로굽히기,전갈자세
밴드잡고몸통옆으로굽히기,몸통들어올리기,전사자세
버피테스트,몸통비틀기,전신루틴스트레칭
버피운동,몸통스트레칭,전진점프하며발뒤꿈치찍기
베개밟고서기,몸통앞으로굽혀걷기,전진점프하며발바닥찍기
베개밟고서기평형성운동루틴프로그램,몸통옆으로굽히기,정적스트레칭루틴프로그램
볼잡고점프하기,무릎굽혀가슴닿기,조깅
비복근스트레칭,무릎높여제자리달리기,종아리스트레칭
빠르게무릎올려찍기,무릎높이들어뛰기,좌식생활자를위한동적루틴스트레칭
사다리걷기,무릎대고상체뒤로젖히기,줄넘기운동
사다리안팎뛰기,무릎대고옆으로기울이기,짐볼양팔로밀기
사다리옆으로발옮기기,무릎들어올리기,짐볼을이용한동적루틴스트레칭
사다리운동루틴프로그램,무릎-허리높이로공튀기기,짝스트레칭루틴프로그램
사다리이용루틴운동,무릎굽혀원그리기,척추들어올리기
사이드지그재그뛰기,물누르기/올리기,척추스트레칭
상지루틴스트레칭,물병들고한발앞으로내밀고앉았다일어서기,측면팔대고버티기
상체앞으로숙이기,물병옆으로들어올리기,치매를위한스트레칭(의자)
서서균형잡기,물속에서걷기,트레드밀에서걷기
서서다리뒤로차기,물통으로양팔들어올리기,팔교대로올리기
서서다리로탄력밴드당겨중심잡기루틴운동,바로서서상체숙이기,팔벌려뛰기
서서다리로탄력밴드당기기II,바벨끌어당기기,팔빨리흔들기
서서뒤꿈치들기,바벨당겨올리기,팔꿈치머리뒤로젖히기
서서발목누르기,바벨들어팔꿈치굽히기,팔벌려뛰기
서서발목뒤로당기기,바벨잡고들어올리기,폼롤러밀며몸앞으로숙이기
서서상체일으키기,바벨들어올리기,폼롤러앞으로굴리기
서서탄력밴드당겨내리기/올리기,바운딩운동루틴프로그램,폼롤러이용유연성운동루틴프로그램
소머리자세,박스옆으로번갈아뛰기,하지루틴스트레칭1
손목펴기/굽히기,박스오르내리기,하지루틴스트레칭2
수영,박스운동루틴프로그램,한발뒤로빼고앞으로굽히기
순간반응콘찍기,반달자세,한발앞굽이팔위로뻗어가슴내밀기
슈퍼맨자세,반복옆뛰기,한칸건너뛰며걷기
스텝박스,발끝당기기,합장하여앞으로숙이기
스텝박스오르내리기,발닿기,허리스트레칭
스텝퍼뛰어서넘어가기,발바꿔뛰기,활자세
스텝퍼뛰어서오르내리기,발가락폄근스트레칭,회전초승달자세
스텝퍼옆으로뛰어넘기,발등동시에늘리기,회전근개스트레칭
스텝퍼오르내리기,발로공주고받기,회전근개스트레칭2
스텝퍼올라가서점프하여착지하기,발목얹고다리잡아당기기,휴식자세
시소우,발바닥치기,
실내자전거타기,배스트레칭,
아기자세,백슬라이드,
아래팔스트레칭,밴드걸고누워서다리들어올리기,
아령앞으로들어올리기,밴드걸고앉아서발등굽힘,
아쿠아로빅,밴드걸고엎드려서다리구부리기,
아쿠아로빅심폐지구력운동루틴프로그램,밴드걸고옆으로누워다리올리기,
아쿠아로빅운동프로그램루틴,밴드머리뒤로들어올리기,
앉아윗몸앞으로굽히기,밴드앞옆으로들어올리기,
앉아서다리모으기,밴드잡고누워서다리밀기,
앉아서뒤로당기기,밴드잡고몸통옆으로굽히기,
앉아서밀기,버피테스트,
앉아서밴드잡고몸통돌리기,버피운동,
앉아서상체앞옆으로기울기,베개밟고교차서기,
앉아서옆구리늘려주기,베개밟고대각방향으로서기,
앉아서한발앞으로굽히기,베개밟고두발모아서기,
앉았다일어나며점프하기,베개밟고서기,
앉았다일어서기,베개밟고위로양팔들기,
앉았다일어서면서점프하기,베개밟고측면으로양팔들기,
앉은산자세,벽에서팔굽혀펴기,
앞굽이앉았다일어서기,벽잡고빨리뛰기,
앞뒤로선넘기,벽패스,
앞뒤로한발씩걷기,볼위에앉아밴드양옆으로당기기,
앞으로나가며앉았다일어서기,볼잡고몸통기울이기,
양발교차하여서서몸통숙이기,볼잡고점프하기,
양발나란히서기,볼튕기면서스쿼트,
양발모아좌우뛰기,비복근스트레칭,
양발벌려무릎밀어내기,비스듬히누워서밀기,
양팔벌려전신비틀기,빠르게무릎올려찍기,
어깨누르기,빠르게무릎들어뛰기,
어깨뒤쪽스트레칭,빠른발뛰기,
어깨스트레칭,사다리걷기,
어깨양옆으로돌리기,사다리안팎뛰기,
엉덩관절회전하기,사다리옆으로발옮기기,
엉덩이스트레칭,사다리운동루틴프로그램,
엉덩이스트레칭2,사다리이용루틴운동,
엎드려교차발잡아당기기,사다리좌우뛰기,
엎드려무릎연속차기,사이드스텝점프하기,
엎드려버티기,사이드지그재그뛰기,
엎드려상체들어올리기,사이드한발뛰기,
엎드려어깨늘리기,상지루틴스트레칭,
엎드려팔대고버티기,상체앞으로숙이기,
엎드려서팔다리들기,서서균형잡기,
연속사이드스쿼드,서서균형잡으며몸통회전하기,
옆구리스트레칭,서서다리뒤로차기,
옆으로걷기,서서다리모으고벌리기,
옆으로누워버티기,서서다리로탄력밴드당겨중심잡기루틴운동,
옆으로팔벌리며점프하기,서서다리로탄력밴드당기기I,
온몸뻗어주기,서서다리로탄력밴드당기기II,
왕복달리기,서서뒤꿈치들기,
요가및필라테스루틴프로그램,서서바벨위로밀기,
요통을위한스트레칭1,서서상체일으키기,
웨이트트레이닝루틴프로그램,서서어깨들어올리기,
윗몸말아올리기,서서탄력밴드당겨내리기/올리기,
윗몸일으키기,서서팔꿈치펴기,
윗몸올리기,소머리자세,
유산소운동전동적루틴스트레칭,소파를이용한윗몸올리기,
의자앉아공밀기,손뻗어윗몸일으키기,
의자앞에서앉았다일어서기,손목펴기/굽히기,
의자이용중심잡기루틴운동,수영,
의자잡고서기,순간반응콘찍기,
의자잡고전방으로무릎굽혀들기,순간반응콘찍기2,
의자잡고측면으로한발들기,슈퍼맨자세,
의자잡고한발들기,스카프저글링,
의자잡고후방으로한발뻗어들기,스타투니풀,
의자에앉아가슴뒤로젖히기,스텝박스,
의자에앉아다리뻗어올리기,스텝박스오르내리기,
의자에한다리올리고앉앗다일어서기,스텝퍼뛰어서넘어가기,
의자이용유연성운동루틴프로그램,스텝퍼뛰어서오르내리기,
의자잡고후방으로무릎굽혀들기,스텝퍼옆으로뛰어넘기,
자가근막이완술루틴스트레칭,스텝퍼오르내리기,
자세낮춰이동하기,스텝퍼올라가서점프하여착지하기,
자전거타기,시소우,
작은공을이용한동적루틴스트레칭,실내자전거타기,
저항밴드운동루틴프로그램,실외자전거타기,
전사자세,십(十)자달리기,
전신루틴스트레칭,아기자세,
전신비틀며전진하기,아래팔스트레칭,
전신틀어손벽마주치기,아령앞으로들어올리기,
전진점프하며발뒤꿈치찍기,아쿠아로빅,
전진점프하며발바닥찍기,아쿠아로빅운동프로그램루틴,
점프팔굽혀펴기,앉아윗몸앞으로굽히기,
점프후버티기,앉아서가슴모으기,
점프하며뛰기,앉아서다리굽히기,
정적스트레칭루틴프로그램,앉아서다리모으기,
제자리뛰기,앉아서다리밀기,
종아리스트레칭,앉아서다리벌리기,
좌식생활자를위한동적루틴스트레칭,앉아서다리펴기,
좌우찍기,앉아서당겨내리기,
좌우로선넘기,앉아서덤벨로손목굽히기,
줄넘기,앉아서뒤로당기기,
줄넘기운동,앉아서모으기,
짐볼앉기평형성운동루틴프로그램,앉아서몸통움츠리기,
짐볼앉아양손가슴교차,앉아서무릎굽히기,
짐볼앉아양손측면으로들기,앉아서밀기,
짐볼앉아중심잡기루틴운동,앉아서밴드잡고몸통돌리기,
짐볼양옆으로굴리기,앉아서상체앞옆으로기울기,
짐볼에엎드려서몸통젖히기,앉아서양팔당기기,
짐볼에엎드려서팔다리들기,앉아서어깨위로밀기,
짐볼을이용한동적루틴스트레칭,앉아서엉덩관절굽히기,
짝스트레칭루틴프로그램,앉아서위로밀기,
척추들어올리기,앉아서팔꿈치굽히기,
척추스트레칭,앉아서팔꿈치굽히기/펴기,
치매를위한스트레칭(의자),앉았다일어나며점프하기,
탄력밴드걸고서기평형성운동루틴프로그램,앉았다일어서기,
턱걸이,앉았다일어서면서점프하기,
트레드밀에서걷기,앞굽이뛰기,
팔당기기,앞굽이앉았다일어서기,
팔돌리며점프하기,앞뒤로선넘기,
팔벌려뛰기,앞뒤로한발씩걷기,
팔굽혀펴기,앞차기하며뛰기,
팔굽혀펴기(무릎대고실시),양발교차올리기,
팔꿈치굽히기,양발교차하여서서몸통숙이기,
팔꿈치맞닿아원그리기,양발나란히서기,
팔꿈치머리뒤로젖히기,양발모았다벌려뛰기,
팔꿈치원그리기,양발연속뛰기,
팔다리교차버티기,양발점프착지하기,
폼롤러이용유연성운동루틴프로그램,양팔벌려전신비틀기,
하지루틴스트레칭1,양팔크게벌리기,
하지루틴스트레칭2,어깨뒤쪽스트레칭,
한발뒤로들어올리기,어깨스트레칭,
한발뒤로빼고앞으로굽히기,어깨양옆으로돌리기,
한발무릎위올려차기,어깨올리기,
한발앞굽이팔위로뻗어가슴내밀기,엇박자뛰기,
한발들기,엉덩이늘리기,
한발앞으로내밀고앉았다일어서기,엉덩이스트레칭,
한발연속뛰기,엉덩이스트레칭2,
한쪽다리펴고상체숙이기,엎드려다리들어올리기,
합장하여앞으로숙이기,엎드려뒤로다리올리기,
허리굽혀팔뒤로들기,엎드려무릎연속차기,
허리스트레칭,엎드려버티기,
허리숙여양팔돌리기,엎드려상체들어올리기,
회전근개스트레칭,엎드려양팔및다리들어올리기,
,엎드려어깨늘리기,
